experiment	session	item	condition	StimulusType	Type	contextFile	question1	question1Type	question1EndPoints	design	instructions
williams	2	11	3	Willliams	Identical	W11I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	12	1	Willliams	Bad	W12B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	12	2	Willliams	Good	W12G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	12	3	Willliams	Identical	W12I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	13	1	Willliams	Bad	W13B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	13	2	Willliams	Good	W13G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	13	3	Willliams	Identical	W13I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	14	1	Willliams	Bad	W14B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	14	2	Willliams	Good	W14G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	14	3	Willliams	Identical	W14I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	15	1	Willliams	Bad	W15B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	15	2	Willliams	Good	W15G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	15	3	Willliams	Identical	W15I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
rhymePractice	3	1	1	Rhyme	Bad	R16B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhymeP.md"
rhymePractice	3	1	2	Rhyme	Good	R16G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhymeP.md"
rhymePractice	3	2	1	Rhyme	Bad	R17B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhymeP.md"
rhymePractice	3	2	2	Rhyme	Good	R17G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhymeP.md"
rhymeRep	4	1	1	Rhyme	Bad	R1B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	1	2	Rhyme	Good	R1G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	1	3	Rhyme	Identical	R1I.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	2	1	Rhyme	Bad	R2B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	2	2	Rhyme	Good	R2G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	2	3	Rhyme	Identical	R2I.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	3	1	Rhyme	Bad	R3B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	3	2	Rhyme	Good	R3G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	3	3	Rhyme	Identical	R3I.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	4	1	Rhyme	Bad	R4B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	4	2	Rhyme	Good	R4G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	4	3	Rhyme	Identical	R4I.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	5	1	Rhyme	Bad	R5B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	5	2	Rhyme	Good	R5G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	5	3	Rhyme	Identical	R5I.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	6	1	Rhyme	Bad	R6B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	6	2	Rhyme	Good	R6G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	6	3	Rhyme	Identical	R6I.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	7	1	Rhyme	Bad	R7B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	7	2	Rhyme	Good	R7G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	7	3	Rhyme	Identical	R7I.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	8	1	Rhyme	Bad	R8B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	8	2	Rhyme	Good	R8G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	8	3	Rhyme	Identical	R8I.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	9	1	Rhyme	Bad	R9B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
rhymeRep	4	9	2	Rhyme	Good	R9G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhyme.md"
